vehicle_age,vehicle_type,annual_mileage,city_driving_pct,highway_driving_pct,daily_driving_hours,hard_braking_events,rapid_acceleration_events,engine_temperature,engine_vibration,oil_age_km,brake_wear_pct,tire_pressure_avg,battery_voltage,last_service_km,previous_repairs,service_frequency,maintenance_risk
7,SUV,6287,22,78,4.3,4,0,89.8,3.7,8279,35.8,33.9,12.34,25942,8,Regular,Medium
4,Hatchback,28902,51,49,3.3,1,7,84.0,4.15,12460,75.4,35.0,12.96,18941,5,Occasional,Medium
13,Pickup,26164,40,60,4.3,4,5,95.4,3.19,2441,45.5,34.0,12.87,20627,1,Regular,Medium
15,Hatchback,20668,74,26,1.6,2,10,99.4,0.92,3906,20.8,30.7,12.97,7747,7,Regular,Medium
11,Pickup,6772,37,63,2.6,5,4,87.7,4.58,9555,66.3,25.8,13.76,22825,0,Rare,High
8,Hatchback,37238,72,28,3.1,14,6,86.5,0.58,7090,58.1,34.4,13.25,14945,7,Occasional,Medium
13,Sedan,20762,80,20,3.3,1,1,91.2,1.44,9118,56.1,32.6,11.52,18413,0,Occasional,Medium
5,SUV,12213,69,31,4.9,4,10,96.0,1.69,1873,54.5,33.3,13.53,29493,3,Regular,Low
7,Pickup,19941,27,73,4.3,5,1,91.5,2.16,6474,44.4,31.7,11.04,21053,6,Rare,Medium
10,Sedan,35345,31,69,0.7,0,6,99.5,2.1,2051,88.7,31.3,12.3,8600,6,Regular,Medium
3,SUV,20964,70,30,1.3,2,3,95.2,4.55,6938,93.8,26.6,13.38,27375,1,Regular,Medium
7,SUV,31855,85,15,3.5,1,1,93.2,4.08,1791,78.2,31.1,13.27,14932,4,Occasional,Medium
11,SUV,22968,60,40,1.6,9,4,79.2,1.41,14791,61.7,31.5,13.42,17585,3,Regular,Low
11,Hatchback,6046,41,59,1.2,6,2,99.3,4.79,4705,74.3,30.3,12.39,11648,1,Regular,High
8,Sedan,19909,28,72,3.5,4,5,75.3,2.13,3028,79.2,31.6,12.24,16977,1,Regular,Low
5,Sedan,18578,30,70,2.9,5,2,77.5,1.48,11905,26.2,33.1,12.85,2225,4,Regular,Low
4,SUV,28368,32,68,4.1,5,0,87.9,4.76,10962,41.0,33.2,14.07,2444,8,Regular,Low
8,Pickup,33599,75,25,1.9,12,13,99.6,3.07,5543,88.0,32.1,12.49,3185,2,Regular,High
8,Sedan,10719,47,53,2.0,5,7,92.7,3.15,7845,29.6,28.9,12.58,707,5,Occasional,Medium
3,Hatchback,20960,83,17,1.2,12,15,90.0,3.45,1873,82.2,29.7,12.88,24700,1,Occasional,Medium
6,Pickup,28606,83,17,3.4,10,5,92.0,3.31,6572,56.6,34.2,11.97,16936,0,Rare,Medium
5,Pickup,20624,89,11,3.7,7,2,100.2,3.33,11544,66.1,31.7,12.24,24281,3,Regular,Medium
2,Pickup,15352,74,26,1.1,12,5,77.4,0.51,9093,77.8,28.0,13.44,13141,6,Occasional,Low
8,Pickup,35885,56,44,1.6,9,1,92.2,3.59,7574,86.5,34.4,12.75,29809,1,Regular,Medium
12,Sedan,20003,52,48,1.2,2,1,86.5,3.84,6525,61.9,32.7,12.76,3698,2,Regular,Low
14,SUV,14223,44,56,3.9,0,7,88.2,0.62,6757,61.1,35.5,13.12,23635,2,Regular,Medium
6,Pickup,36433,42,58,1.4,3,8,99.5,3.31,1157,70.7,39.3,12.64,5743,0,Regular,High
2,Hatchback,17718,79,21,1.2,6,14,85.1,1.69,9332,21.1,31.8,13.39,13989,6,Regular,Low
